"Company","NumEmployees","Turnover","CompanyType"
"DCC",10000," 13500000000","energy"
"ESB",7700,"  3200000000","energy"
"Circle K Ireland Energy Group Limited",1717,"  2600000000","energy"
"CMC",31,"  2100000000","energy"
"Applegreen",2500,"  1400000000","energy"
"Tullow Oil",1172,"  1400000000","energy"
"Valero Energy Corporation",9,"  1200000000","energy"
"Tedcastle",470,"  1100000000","energy"
"Dragon Oil",1900,"  1100000000","energy"
"Whitegate Refinery",140,"  1100000000","energy"
"Energia",49,"   801900000","energy"
"SSE Airtricity",353,"   766800000","energy"
"EirGrid",480,"   672600000","energy"
"Schneider Electric",217,"   603200000","energy"
"Maxol",82,"   558800000","energy"
"Caterpillar Northern Ireland",1624,"   516200000","energy"
"Ervia",1621,"   497700000","energy"
"Inver Energy",25,"   485900000","energy"
"Bord na Mona",1200,"   406200000","energy"
"Stafford Group",587,"   315200000","energy"
"Allergan Inc",18000," 12900000000","pharma"
"Pfizer Global Supply",3200,"  7500000000","pharma"
"MSD ",1700,"  6100000000","pharma"
"Perrigo",13300,"  5000000000","pharma"
"Alexion Pharmaceuticals",300,"  3200000000","pharma"
"McKesson",1100,"  2600000000","pharma"
"Gilead Sciences",250,"  2300000000","pharma"
"Baxter",1050,"  2000000000","pharma"
"Icon Plc",11700,"  1900000000","pharma"
"Shire",109,"  1600000000","pharma"
"Benex",4,"  1400000000","pharma"
"Jazz Pharmaceuticals",850,"  1300000000","pharma"
"Uniphar",1090,"  1300000000","pharma"
"Sanofi Genzyme",588,"  1300000000","pharma"
"UDG Healthcare",7386,"   986400000","pharma"
"Bard Shannon",687,"   846000000","pharma"
"Servier (Ireland)",387,"   694800000","pharma"
"GSK",1700,"   578500000","pharma"
"Cook Ireland",935,"   564800000","pharma"
"Depuy",850,"   550000000","pharma"
"CRH",87000," 27600000000","construction"
"Ingersoll-Rand",45000," 11500000000","construction"
"Kingspan",11000,"  3700000000","construction"
"Grafton ",12222,"  3100000000","construction"
"Sisk Group",1348,"  1100000000","construction"
"Doosan",1658,"   875500000","construction"
"Graham",1844,"   641700000","construction"
"Mercury Engineering",1497,"   600000000","construction"
"Caterpillar Northern Ireland",1624,"   516200000","construction"
"OFlaherty Holdings",1164,"   459100000","construction"
"Actavo Group Ltd",4045,"   455700000","construction"
"Northstone",1146,"   425200000","construction"
"Lagan Group",1000,"   400000000","construction"
"Jacobs Engineering",400,"   372700000","construction"
"Bam",560,"   360600000","construction"
"Jones Engineering Limited",2400,"   360000000","construction"
"John Paul Construction",353,"   360000000","construction"
"PM Group",1359,"   335600000","construction"
"Roadbridge",1000,"   300000000","construction"
"McLaughlin & Harvey",427,"   283400000","construction"
"Apple Ireland",6000,"119200000000","technology"
"Google",7000," 26300000000","technology"
"Microsoft",2000," 18500000000","technology"
"DCC",10000," 13500000000","technology"
"Facebook",2500," 12600000000","technology"
"Dell Ireland",774," 10300000000","technology"
"Oracle",1471,"  8800000000","technology"
"Sandisk",40,"  5600000000","technology"
"VMware",773,"  2900000000","technology"
"Kingston",242,"  2700000000","technology"
"Intel Ireland",4000,"  2300000000","technology"
"Adobe",2920,"  2100000000","technology"
"Paddy Power Betfair",7400,"  2000000000","technology"
"Maxim Integrated Products",79,"  1900000000","technology"
"Microchip Technology",17,"  1700000000","technology"
"Eircom",3300,"  1300000000","technology"
"Symantec",699,"  1200000000","technology"
"NCR",43,"  1200000000","technology"
"HP Ireland",4000,"  1200000000","technology"
"Sandvik",70,"  1100000000","technology"
"DCC",10000," 13500000000","food-and-beverage"
"Kerry Group",23000,"  6400000000","food-and-beverage"
"Total Produce",5200,"  4300000000","food-and-beverage"
"Musgrave",40000,"  3700000000","food-and-beverage"
"ABP Food Group ",10000,"  2800000000","food-and-beverage"
"Greencore",15204,"  2600000000","food-and-beverage"
"Glanbia",6015,"  2400000000","food-and-beverage"
"Ornua",3300,"  2100000000","food-and-beverage"
"Diageo",1100,"  1700000000","food-and-beverage"
"Moy Park",9620,"  1600000000","food-and-beverage"
"Bwg Group",1877,"  1400000000","food-and-beverage"
"Fyffes",3000,"  1200000000","food-and-beverage"
"Dawn Meats",3400,"  1200000000","food-and-beverage"
"Kellogg Ireland",197,"  1100000000","food-and-beverage"
"Dunbia",3778,"   934200000","food-and-beverage"
"Kepak",2500,"   860000000","food-and-beverage"
"Henderson Group",2998,"   822400000","food-and-beverage"
"C&C",1325,"   818100000","food-and-beverage"
"Valeo Foods",2000,"   800000000","food-and-beverage"
"Fane Valley",2100,"   660400000","food-and-beverage"
